motis_id,name
7798,RVM Kreis Steinfurt
780,Usedomer Bäder Bahn Bus
7800,Weilke Kreis ST
7803,RVM Kreis Borken
7807,StadtBus Rheine
7808,Gronemann GmbH
7809,RLG Hochsauerlandkreis
781,Lange
7810,RLG Kreis Soest
7812,Busverkehr Ruhr-Sieg
7813,Stadtwerke Münster
7814,Veelker GmbH & Co. KG
7815,Verkehrsbetriebe Hamm
7816,VGBreitenbach
7817,Verkehrsgemeinschaft Osnabrück
7826,Bus Schwabach (Wutzer)
7831,Bus BA BT PVU-Region
7833,SVZ Zwickau Bus
7834,RV RVW Bus
7835,SV CRM_GC_Bus
7837,RV ASR Bus
7843,SV Chemnitz Strab
7844,SV Chemnitz Bus
7846,RV BVO Bus
7857,RV Mittweida Bus
7859,SV Frankenberg Bus
7862,RV Freiberg Bus
7863,SV Flöha Bus
7864,SV Freiberg/Brand-Erbisdorf Bus
7865,RV Döbeln
7874,RBO-Bus
7875,KVG-Bus
7878,Autobusy Karlovy Vary
7879,BIELAWA
7880,CD
7882,Ostdeutsche Eisenbahn GmbH
7888,OBB-Beck
7889,S.Wilhelm-OBB
7891,Schmidt-Reisen
7912,Rheinfähre Altrip
7921,Stadtwerke Eberbach
7922,Stadtwerke Lampertheim
7926,PalatinaBus GmbH
7927,Busverkehr-Rhein-Neckar
793,Busbetrieb Olten-Gösgen-Gäu
7931,Verkehrsgesellschaft Untermain
7932,Verkehrsgesellschaft Gersprenztal/Sauter
7933,Verkehrsbetriebe Leininger Land/Behles
7935,Reisedienst Walter Müller Biblis
7938,Verkehrsgemeinschaft Main-Tauber
7939,Queichtal Nahverkehrsgesellschaft
7940,Regionalbus-Westpfalz
7955,Stadtverkehr Ingelheim
7956,ORN im RNN
