wikidata_id,name
Q1613528,Hermes Fulfilment
Q15815459,Herz-Reisen
Q1615784,Hessencourrier
Q896102,Hessische Landesbahn
Q111190886,Hettinger Reisen GmbH & Co. KG
Q2717914,Hetzler Busreisen
Q1660292,HGK Shipping
Q1618443,Hildesheim-Peiner Kreis-Eisenbahn-Gesellschaft
Q1621946,Hochlandexpress
Q110056300,HOFBUS GmbH
Q1623746,Hohenlimburger Kleinbahn
Q1596991,Hohenzollerische Landesbahn
Q20203757,Hörmann-Reisen
Q1628279,Horn-Linie
Q1651847,Hörseltalbahn
Q1529897,Hoyer Internationale Fachspedition
Q1565979,HSL Logistik
Q1633684,Hubschrauber Sonder Dienst
Q1532037,HVB Wiest + Schürmann
Q15712210,IC Bus
Q114723014,Ilmebahn
Q1659285,Ilztalbahn GmbH
Q15819993,Imfeld Busverkehr
Q1652183,In-der-City-Bus
Q1168357,Industriebahn AG
Q1662000,Industriebahn Berlin
Q1662006,Industriebahn Nievenheim-Zons
Q1662649,Infra fürth
Q1122564,Infra Infrastrukturgesellschaft Region Hannover GmbH
Q116868324,INGmobil
Q1663262,Ingolstädter Verkehrsgesellschaft
Q1261565,Inselbahn Baltrum
Q1321521,Inselbahn Fehmarn
Q1664453,Inselbahn Juist
Q1664454,Inselbahn Langeoog
Q1665356,Intalliance
Q15820233,IntEgro Verkehr
Q1667253,Internationale Gesellschaft für Eisenbahnverkehr
Q15820351,Intro Aviation
Q15819789,IOV Omnibusverkehr Ilmenau
Q1673846,Iserlohner Kreisbahn
Q872617,ITL Eisenbahngesellschaft
Q1678170,Jade-Dienst
Q1678482,Jagsttalbahn
Q1686811,Jenaer Nahverkehr GmbH
Q1676576,JES Verkehrsgesellschaft
Q1688479,Jet Connection
Q1688480,Jet Executive International Charter
Q1421258,Johann M. K. Blumenthal
Q1715166,Jöhnk Werft
Q1372336,Jozi-Reisen
Q1716853,Jülicher Kreisbahn
Q1721203,Kahlgrund Verkehrs-GmbH
Q64521885,Kamerun-Eisenbahn-Gesellschaft
Q1308576,Karl Schäfer Omnibusreisen
Q1735200,Kassel-Naumburger Eisenbahn
Q1735222,Kasseler Verkehrs- und Versorgungs-GmbH
Q1578639,Kasseler Verkehrs-Gesellschaft
Q1738564,Kemptener Verkehrsbetriebe
Q1739254,Kerkerbachbahn
Q1740948,Kiel–Schönberger Eisenbahn
Q55669364,Kieler Verkehrsaktiengesellschaft
Q1740976,Kieler Verkehrsgesellschaft
Q1746313,Kleinbahn Bremen–Tarmstedt
Q1746320,Kleinbahn Gommern–Pretzien
Q1746330,Kleinbahn Kiel-Segeberg
Q1746342,Kleinbahn Selters–Hachenburg
Q1247915,Kleinbahn Steinhelle–Medebach
Q1500298,Kleinbahn Unna–Kamen–Werne
Q1746303,Kleinbahn-AG in Genthin
Q1746357,Kleinbahnen der Kreise West- und Ostprignitz
Q1746358,Kleinbahnen des Kreises Jerichow I
Q1777704,Knöhr & Burchard
Q111461253,Knühl Reisen
Q1555633,Koblenzer Elektrizitätswerk und Verkehrs-AG
Q1778498,Kohlebahn Meuselwitz–Haselbach–Regis-Breitingen
Q1795880,Kölner Verkehrs-Betriebe
Q1779885,Kombiverkehr
Q1779744,KomBus
Q19593884,Kommunale Personennahverkehrsgesellschaft Eisenach
Q114054725,Kommunalverkehr Rhein-Nahe
Q1781018,Komrowski
Q1439662,Königlich Preußische Dampfschiffahrts-Gesellschaft
Q451124,Königlich Württembergische Staats-Eisenbahnen
Q1785065,Kosmos Bulkschiffahrt
Q1786022,Kraftverkehr Gebr. Wiedenhoff
Q1786023,Kraftverkehr Mundstock
Q1786029,Kraftverkehrsgesellschaft Braunschweig
Q1786032,Kraftverkehrsgesellschaft Dreiländereck
Q1786034,Kraftwagen-Verkehr Koblenz
Q1787182,Kreis Altenaer Eisenbahn
Q1787486,Kreis Ruhrorter Straßenbahn
Q1787611,Kreisbahn Aurich
Q28873929,Kreisbahn Mansfelder Land GmbH
Q1787616,Kreisbahn Norderdithmarschen
Q1787615,Kreisbahn Rathenow-Senzke-Nauen
Q1464382,Kreisbahn Siegen-Wittgenstein
Q28873935,Kreisverkehrs- und Infrastrukturbetrieb St. Wendel
Q1318132,Kreisverkehrsbetriebe Saarlouis
Q1787833,Kreisverkehrsgesellschaft Euskirchen
Q1787837,Kreisverkehrsgesellschaft in Pinneberg
Q1787834,Kreisverkehrsgesellschaft Meißen
Q1787838,Kreisverkehrsgesellschaft Mettmann
Q1787835,Kreisverkehrsgesellschaft Salzland
Q1787841,Kreiswerke Main-Kinzig
Q1736106,Kreuznacher Kleinbahnen
Q1406982,Kreuznacher Straßen- und Vorortbahnen
Q1758016,Kuckucksbähnel
Q1793083,Kurhessenbahn
Q39433984,Küstenbus
Q1381178,KVG Stade
Q28873936,Lammert-Reese
Q1711557,Landesbetrieb Verkehr
Q1632938,Landesverkehrsamt Brandenburg
Q113533069,Lange Tours
Q1805825,Lappwaldbahn
Q1805882,Larcher Touristik
Q15825562,Leipziger Eisenbahnverkehrsgesellschaft
Q884166,Leipziger Verkehrsbetriebe
Q1816818,Lembke & Koschick
Q1818362,Lenz & Co.
Q1818453,LeoBus
Q1819343,Leonhardt & Blumberg
Q1820103,Leppetalbahn
Q12013016,Levelink
Q15907354,Liniendienst von Joh. Ces. Godeffroy & Sohn
Q1826931,Linnhoff Schiffahrt
Q22674624,Locomore
Q1798238,LOCON Logistik & Consulting
Q131913030,Lokalbahn Amstetten-Gerstetten
Q105475165,Lokale Nahverkehrsgesellschaft Fulda
Q1565282,Lokomotion Gesellschaft für Schienentraktion
Q1798257,LOOK Busreisen
Q985151,Löwenberg-Lindow-Rheinsberger Eisenbahn
Q1880061,Lübbe Transport & Logistik
Q1285343,Lübeck-Bremer Dampfschiffahrtsgesellschaft
Q1880084,Lübeck-Büchener Eisenbahn
Q1748032,Lübeck-Segeberger Eisenbahn
Q1880096,Lübeck-Travemünder Verkehrsgesellschaft
Q1317507,Lüchow-Schmarsauer Eisenbahn
Q1875401,Ludwigsburger Verkehrslinien
Q1569789,Ludwigsluster Verkehrsgesellschaft
Q1409766,Lufttaxi Fluggesellschaft
Q1282470,Luftverkehrsgesellschaft Ruhrgebiet
Q1883929,Magdeburger Verkehrsbetriebe
Q113227748,Magdeburger Verkehrsgesellschaft
Q120491363,Main-Neckar-Eisenbahn-Gesellschaft
Q1367630,MainMobil
Q1885780,Mainzer Verkehrsgesellschaft
Q1891103,Mansfelder Bergwerksbahn
Q1899383,Maritime Circle Line
